show_num,round_code,contestant,score,num_right,num_ddright,num_wrong,num_ddwrong,finish
8278,J,Doug,6100,16,2,0,0,Second
8278,DJ,Greg,17600,19,1,1,0,Winner
8278,DJ,Daniella,4200,9,0,1,0,Third
8278,DJ,Doug,15100,16,2,0,0,Second
8278,FJ,Greg,20000,19,1,1,0,Winner
8278,FJ,Daniella,2,9,0,1,0,Third
8278,FJ,Doug,10100,16,2,0,0,Second
8277,J,Ben,3000,19,2,4,0,Second
8277,J,Melissa,2400,13,0,7,0,Third
8277,J,Greg,3200,14,1,2,0,Winner
8277,DJ,Ben,19200,19,2,4,0,Second
8277,DJ,Melissa,2000,13,0,7,0,Third
8277,DJ,Greg,13200,14,1,2,0,Winner
8277,FJ,Ben,11999,19,2,4,0,Second
8277,FJ,Melissa,1900,13,0,7,0,Third
8277,FJ,Greg,21200,14,1,2,0,Winner
8276,J,Andrew,11800,25,1,0,0,Second
8276,J,Monisha,1600,10,0,0,0,Third
8276,J,Ben,5600,20,2,2,0,Winner
8276,DJ,Andrew,22200,25,1,0,0,Second
8276,DJ,Monisha,10000,10,0,0,0,Third
8276,DJ,Ben,24200,20,2,2,0,Winner
8276,FJ,Andrew,24399,25,1,0,0,Second
8276,FJ,Monisha,10000,10,0,0,0,Third
8276,FJ,Ben,44401,20,2,2,0,Winner
8275,J,Burt :),5600,13,2,2,0,Third
8275,J,Andrew,5600,28,1,0,0,Winner
8275,J,Steven,3600,13,0,1,0,Second
8275,DJ,Burt :),9800,13,2,2,0,Third
8275,DJ,Andrew,24600,28,1,0,0,Winner
8275,DJ,Steven,10800,13,0,1,0,Second
8275,FJ,Burt :),0,13,2,2,0,Third
8275,FJ,Andrew,21601,28,1,0,0,Winner
8275,FJ,Steven,1800,13,0,1,0,Second
8274,J,Devin,3000,21,1,3,1,Second
8274,J,Christina,3400,13,0,3,0,Third
8274,J,Burt :),3600,15,1,5,0,Winner
8274,DJ,Devin,9600,21,1,3,1,Second
8274,DJ,Christina,9400,13,0,3,0,Third
8274,DJ,Burt :),11400,15,1,5,0,Winner
8274,FJ,Devin,19200,21,1,3,1,Second
8274,FJ,Christina,3800,13,0,3,0,Third
8274,FJ,Burt :),20400,15,1,5,0,Winner
8273,J,Devin,6600,21,1,1,1,Winner
8273,J,Keoni,4600,14,1,3,0,Second
